title,authors,cover,summary,language,categories,editor,publicationYear,pagesNumber,amazonLink,kindleLink,audibleLink,fnacLink,ISBN,rating
Bridgerton [TV Tie-in] (Bridgertons Book 1),,"https://images-na.ssl-images-amazon.com/images/I/513yHCCzv5L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/0063078902,,,,0063078902,4.6
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,,"https://images-na.ssl-images-amazon.com/images/I/51xvbhi2FaL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Biographies', 'Memoirs', 'Leaders', 'Notable People']",,,,https://www.amazon.com/dp/0062238868,,,,0062238868,4.6
"The Viscount Who Loved Me: Bridgerton (Bridgertons, 2)",,"https://images-na.ssl-images-amazon.com/images/I/51DcgMYEeWL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/006313862X,,,,006313862X,4.6
"Offer from a Gentleman, An: Bridgerton (Bridgertons, 3)",,"https://images-na.ssl-images-amazon.com/images/I/51fXh9AYuEL._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,[],,,,https://www.amazon.com/dp/0063138646,,,,0063138646,4.6
"Romancing Mister Bridgerton: Bridgerton (Bridgertons, 4)",,"https://images-na.ssl-images-amazon.com/images/I/51JAI9LXHoL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/0063141248,,,,0063141248,4.6
"To Sir Phillip, With Love: Bridgerton (Bridgertons, 5)",,"https://images-na.ssl-images-amazon.com/images/I/51qJJ-KyG-L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/0063141256,,,,0063141256,4.6
"When He Was Wicked: Bridgerton (Bridgertons, 6)",,"https://images-na.ssl-images-amazon.com/images/I/51AfDNUuqBL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/0063141280,,,,0063141280,4.6
"It's in His Kiss: Bridgerton (Bridgertons, 7)",,"https://images-na.ssl-images-amazon.com/images/I/51TV1a8TvpL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/0063141299,,,,0063141299,4.6
"On the Way to the Wedding: Bridgerton (Bridgertons, 8)",,"https://images-na.ssl-images-amazon.com/images/I/515Vu3mz+TL._SY344_BO1,204,203,200_.jpg",,,"['Romance', 'Historical']",,,,https://www.amazon.com/dp/0063141302,,,,0063141302,4.6
"The Boy, the Mole, the Fox and the Horse Deluxe (Yellow) Edition",,"https://images-na.ssl-images-amazon.com/images/I/41LsNc3zJHL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Comics', 'Graphic Novels', 'Graphic', 'Novels']",,,,https://www.amazon.com/dp/0063142783,,,,0063142783,4.8
The Tattooist of Auschwitz: A Novel,,"https://images-na.ssl-images-amazon.com/images/I/41ZBK9+E0vL._SY344_BO1,204,203,200_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0062797158,,,,0062797158,4.7
Unfu*k Yourself: Get Out of Your Head and into Your Life (Unfu*k Yourself series),,"https://images-na.ssl-images-amazon.com/images/I/41e7CLOxUIL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Self-Help', 'Happiness']",,,,https://www.amazon.com/dp/0062803832,,,,0062803832,4.6
Magnolia Table,,"https://images-na.ssl-images-amazon.com/images/I/51iDWMHbdhL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Cookbooks', 'Food', 'Wine', 'Regional', 'International']",,,,https://www.amazon.com/dp/006282015X,,,,9780062820150,4.8
