title,authors,cover,summary,language,categories,editor,publicationYear,pagesNumber,amazonLink,kindleLink,audibleLink,fnacLink,ISBN,rating
The Premonition: A Pandemic Story,['Michael Lewis'],"https://images-na.ssl-images-amazon.com/images/I/41KYZRYpn8L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Medical Books', 'Medicine']",,,,,,,,0393881555,4.7
Norse Mythology,['Neil Gaiman'],"https://images-na.ssl-images-amazon.com/images/I/51+XjI3PrwL._SY344_BO1,204,203,200_.jpg",,,"['Literature & Fiction', 'Genre Fiction']",,,,,,,,9780393356182,4.7
Trump: The Art of the Deal,['Donald J. TrumpTony Schwartz'],"https://images-na.ssl-images-amazon.com/images/I/51TTkIoTIjL._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,"['Biographies & Memoirs', 'Leaders & Notable People']",,,,,,,,0394555287,4.7
The Overstory: A Novel,['Richard Powers'],"https://images-na.ssl-images-amazon.com/images/I/51yiDXr0zJL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature & Fiction', 'Genre Fiction']",,,,,,,,039335668X,4.4
Twisted Twenty-Six (Stephanie Plum),['Janet Evanovich'],"https://images-na.ssl-images-amazon.com/images/I/41BGchYCrrL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature & Fiction', 'Humor & Satire']",,,,,,,,0399180214,4.7
The Very Hungry Caterpillar,['Eric Carle'],"https://images-na.ssl-images-amazon.com/images/I/41w4B0f21VL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,,,,,0399226907,4.9
The Cat in the Hat,['Dr. Seuss'],"https://images-na.ssl-images-amazon.com/images/I/51NpGEKBQoL._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,[],,,,,,,,039480001X,4.9
One Fish Two Fish Red Fish Blue Fish,['Dr. Seuss'],"https://images-na.ssl-images-amazon.com/images/I/51YWnlLkblL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,,,,,0394800133,4.9
Green Eggs and Ham,['Dr.Seuss'],"https://images-na.ssl-images-amazon.com/images/I/41QZuBj-CPL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,,,,,0545002850,4.9
Are You My Mother ?,['P.D. Eastman'],"https://images-na.ssl-images-amazon.com/images/I/51BtPDXB24L._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,[],,,,,,,,0394800184,4.9
A Christmas Carol: The Original Manuscript Edition,['Charles Dickens'],"https://images-na.ssl-images-amazon.com/images/I/51sejpWy6XL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature & Fiction', 'History & Criticism']",,,,,,,,0393608646,4.7
Where's Spot?,['Eric Hill'],"https://images-na.ssl-images-amazon.com/images/I/51o4b5AdNLL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,,,,,0399240462,4.8
Fox in Socks (Beginner Books),['Dr. Seuss'],"https://images-na.ssl-images-amazon.com/images/I/51CDMBtlLgL._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,[],,,,,,,,9780394800387,4.9
Happy Birthday to You!,['Dr. Seuss'],"https://images-na.ssl-images-amazon.com/images/I/51xHgwuohnL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,,,,,0394800761,4.8
How the Grinch Stole Christmas! (Classic Seuss),['Dr. Seuss'],"https://images-na.ssl-images-amazon.com/images/I/511KgC5-DLL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature & Fiction', 'Poetry']",,,,,,,,0394800796,4.9
The Day the Crayons Quit,['Drew DaywaltOliver Jeffers'],"https://images-na.ssl-images-amazon.com/images/I/51JNz57DqLL._SX218_BO1,204,203,200_QL40_ML2_.jpg",,,[],,,,,,,,0399255370,4.8
